HOF_status,PA,HR,R,RBI,AVG,OBP,SLG,wRC+,Off,WAR
0,10240,231,1421,936,0.264,0.324,0.418,95,25.4,49.7
0,7382,74,960,793,0.29,0.357,0.408,126,226.8,49.6
0,7981,316,1157,1220,0.299,0.379,0.51,135,334.8,49.5
0,8664,74,972,992,0.281,0.346,0.403,119,195.3,49.3
0,7559,374,971,1159,0.266,0.359,0.489,132,284.2,49.2
0,7923,306,1063,1111,0.283,0.36,0.484,129,261.4,49.2
0,4926,13,1024,462,0.334,0.466,0.41,142,339.2,48.9
0,9309,275,1188,1074,0.267,0.37,0.425,124,259.9,48.4
0,7240,247,1001,1174,0.286,0.355,0.46,117,141.3,48.3
0,7215,238,1224,1164,0.318,0.395,0.534,130,294.3,47.9
0,11229,292,1189,1466,0.279,0.362,0.431,122,282.2,47.9
0,7913,332,1109,1287,0.303,0.369,0.516,129,280.0,47.7
0,8299,257,1243,909,0.269,0.337,0.44,107,118.5,47.3
0,10403,256,1365,1169,0.286,0.327,0.442,110,144.4,47.3
0,7812,348,986,1239,0.274,0.338,0.48,126,233.2,47.1
0,8306,344,1217,937,0.249,0.337,0.465,115,192.9,47.0
0,9110,160,1300,819,0.266,0.374,0.389,112,125.0,46.6
0,5856,279,816,816,0.261,0.358,0.489,132,214.8,46.4
0,6153,242,944,795,0.278,0.384,0.489,128,235.9,46.0
0,8251,41,1188,611,0.287,0.366,0.384,118,158.1,45.9
0,9171,71,1184,1034,0.298,0.378,0.42,115,176.8,45.9
0,8767,195,1115,918,0.264,0.365,0.395,116,178.0,45.8
0,9710,47,1333,1371,0.292,0.328,0.382,98,-51.1,45.8
0,4604,189,725,760,0.286,0.41,0.518,151,288.8,45.7
0,9106,118,1642,1093,0.306,0.374,0.444,119,259.7,45.7
0,6758,20,1214,743,0.306,0.416,0.389,123,224.4,45.6
0,5315,46,954,659,0.341,0.403,0.467,147,382.6,45.5
0,7027,233,1033,851,0.285,0.374,0.464,129,301.8,45.5
0,8807,22,1278,688,0.294,0.371,0.358,111,103.2,45.5
0,9290,173,1179,1146,0.303,0.383,0.442,120,214.4,45.5
0,6832,42,1405,719,0.296,0.388,0.407,122,257.0,45.3
0,7685,27,866,934,0.289,0.355,0.384,110,67.6,45.2
0,7894,21,1180,631,0.285,0.368,0.347,116,162.7,45.1
0,5525,201,653,674,0.241,0.388,0.429,140,239.3,45.0
0,6039,32,684,675,0.277,0.319,0.365,100,-7.0,45.0
0,8029,409,1099,1298,0.268,0.36,0.509,127,256.7,45.0
0,5639,18,994,840,0.311,0.39,0.406,119,190.1,44.9
0,9625,79,1181,646,0.259,0.311,0.342,90,-56.0,44.9
0,6777,140,922,725,0.299,0.365,0.439,115,118.3,44.8
0,6899,200,706,758,0.262,0.34,0.412,113,94.3,44.8
