Name,HOF_status,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,wRC+,Off,Def,WAR
Mike Trout,active,1648,7203,404,1196,1018,214,0.294,0.406,0.57,166,608.3,-7.9,87.2
Freddie Freeman,active,2179,9363,367,1379,1322,104,0.3,0.386,0.511,141,467,-134.8,64.8
Mookie Betts,active,1531,6936,291,1166,913,196,0.29,0.369,0.512,136,349.1,30.4,62.6
Aaron Judge,active,1145,5002,368,873,830,65,0.294,0.413,0.615,178,449.7,-13,61.5
Francisco Lindor,active,1535,6848,279,1011,856,216,0.273,0.342,0.475,121,187.7,171.8,60.4
Jose Altuve,active,1976,8696,255,1236,889,325,0.303,0.36,0.466,129,307.5,-10.4,60
Jose Ramirez,active,1609,6759,285,1001,949,287,0.279,0.353,0.504,130,292.3,45.2,57.6
Paul Goldschmidt,active,2074,8826,372,1280,1232,174,0.288,0.378,0.504,137,399.9,-132.4,57.4
Manny Machado,active,1894,8195,369,1082,1144,113,0.279,0.338,0.486,123,210.6,73.2,57.3
Bryce Harper,active,1785,7665,363,1154,1051,152,0.28,0.387,0.519,141,386.3,-90.7,55.6
Andrew McCutchen,active,2262,9707,332,1290,1152,220,0.271,0.365,0.457,125,296.2,-105.5,52.3
Nolan Arenado,active,1787,7514,353,992,1184,31,0.282,0.338,0.507,116,133.9,126,51.6
Trea Turner,active,1266,5606,186,870,641,315,0.297,0.349,0.478,122,220.3,65,47.5
Giancarlo Stanton,active,1726,7177,453,943,1169,42,0.258,0.345,0.528,136,285,-88.2,44.6
Xander Bogaerts,active,1666,7069,197,948,838,126,0.287,0.35,0.446,115,158.3,38.9,43.9
Alex Bregman,active,1225,5327,209,758,725,43,0.272,0.365,0.481,133,208.2,38,43.1
Juan Soto,active,1096,4803,244,775,697,95,0.282,0.417,0.531,158,331.7,-70.6,42.3
Corey Seager,active,1131,4887,221,702,667,21,0.289,0.362,0.509,136,211.7,34.4,41.2
Carlos Correa,active,1253,5344,200,686,724,33,0.275,0.352,0.464,125,154.2,64,40.5
J.T. Realmuto,active,1373,5542,180,696,677,104,0.27,0.328,0.447,109,80.1,101.9,36.7
Shohei Ohtani,active,1033,4329,280,708,669,165,0.282,0.374,0.582,156,308.8,-101.9,36
Starling Marte,active,1530,6307,163,877,667,361,0.285,0.342,0.44,115,160.9,-16.6,35.9
Matt Chapman,active,1150,4770,203,661,565,35,0.24,0.33,0.458,118,112.5,70,34.9
Ketel Marte,active,1230,5092,171,688,587,65,0.281,0.351,0.472,121,138.3,14.3,32.6
Matt Olson,active,1223,5197,288,712,808,9,0.257,0.351,0.508,133,192.1,-61,31.2
Marcell Ozuna,active,1614,6715,296,823,948,29,0.269,0.336,0.469,119,149.4,-65,30.8
Kris Bryant,active,1054,4550,184,667,548,44,0.273,0.368,0.483,126,163.8,-25.9,29.2
Rafael Devers,active,1143,4944,235,715,747,33,0.276,0.349,0.506,127,146.4,-24.3,29.1
Cody Bellinger,active,1157,4764,225,690,695,104,0.261,0.334,0.483,119,129.5,-2.5,28.7
Dansby Swanson,active,1282,5263,164,680,634,106,0.251,0.318,0.414,96,1,105.5,28.5
Brandon Nimmo,active,1066,4365,135,593,463,54,0.262,0.364,0.438,126,145.2,-13.6,28
Trevor Story,active,1065,4460,204,627,636,160,0.265,0.329,0.49,106,59.7,60,26.9
Willy Adames,active,1040,4296,180,561,559,63,0.244,0.321,0.44,109,52,54.4,25.5
Javier Baez,active,1348,5118,193,653,685,115,0.252,0.292,0.434,92,-20.2,99.7,25
Willson Contreras,active,1078,4275,172,526,548,37,0.258,0.352,0.459,122,97.4,-1.2,24.3
Max Muncy,active,1020,3980,214,593,604,18,0.229,0.354,0.474,126,124.7,-33,22.6
Ozzie Albies,active,1028,4471,157,623,582,98,0.266,0.32,0.455,105,56.6,14.9,21.9
Pete Alonso,active,1008,4316,264,580,712,18,0.253,0.341,0.516,132,157.2,-93.6,20.8
Vladimir Guerrero Jr.,active,975,4220,183,571,591,26,0.288,0.366,0.495,137,166,-105.2,20.6
Ian Happ,active,1139,4449,173,567,557,70,0.247,0.343,0.447,116,88.2,-35.8,20.6
Michael Conforto,active,1150,4424,179,568,556,23,0.245,0.343,0.442,115,80.8,-29.1,19.6
Salvador Perez,active,1707,6904,303,710,1016,6,0.264,0.301,0.457,103,-29.1,-18.3,19
Gleyber Torres,active,1033,4301,154,539,515,57,0.264,0.337,0.433,114,56.2,-18.6,18.5
Teoscar Hernandez,active,1099,4407,217,571,661,59,0.261,0.316,0.484,117,90.4,-70.4,17
Joc Pederson,active,1368,4611,218,606,575,31,0.237,0.338,0.46,118,93.8,-81.7,16.8
Jose Iglesias,active,1293,4677,54,506,428,70,0.279,0.321,0.38,89,-67.8,77.1,16.8
Christian Walker,active,986,3910,174,499,531,27,0.248,0.325,0.456,110,44,-17,16.1
Christian Vazquez,active,993,3517,71,360,349,33,0.25,0.299,0.367,78,-118.8,154.9,15.6
Nick Castellanos,active,1688,6950,250,827,920,42,0.272,0.321,0.464,109,59.4,-154,14.2
Randal Grichuk,active,1361,4833,212,611,629,27,0.251,0.298,0.465,101,9.6,-34.6,14
Rhys Hoskins,active,888,3722,186,481,530,20,0.238,0.344,0.475,121,83.8,-83.5,12.3
Josh Bell,active,1287,5159,193,604,676,4,0.256,0.341,0.443,112,43.9,-121,9.7
Jorge Soler,active,1094,4362,203,531,550,12,0.241,0.328,0.458,111,46.4,-114.4,8.1
George Springer,active,1445,6375,293,982,796,120,0.266,0.353,0.478,130,245.8,-62,40.6
Marcus Semien,active,1629,7073,253,968,801,139,0.253,0.321,0.435,108,95.9,49.4,38.9
Eugenio Suarez,active,1630,6627,325,831,949,36,0.246,0.328,0.464,113,82.5,24.6,33.1
Ronald Acuna Jr.,active,817,3666,186,655,459,205,0.289,0.384,0.524,143,226.5,-28.2,31.9
Kyle Schwarber,active,1291,5384,340,800,784,37,0.231,0.346,0.5,126,159.2,-126.7,21.7
Travis d'Arnaud,active,953,3563,129,390,459,3,0.245,0.306,0.42,98,-19.3,98.1,20.3
Yandy Diaz,active,904,3755,100,471,424,11,0.29,0.372,0.442,131,116.7,-66.9,17.8
J.P. Crawford,active,930,3886,67,465,344,35,0.248,0.34,0.369,106,25.7,18.7,17.8
Miguel Rojas,active,1297,4159,57,434,363,67,0.26,0.314,0.362,85,-74.5,82.2,14.5
Luis Arraez,active,840,3533,36,436,308,31,0.317,0.363,0.413,117,67.7,-69.5,11.9
Ryan McMahon,active,1064,4009,144,469,470,31,0.239,0.322,0.416,89,-61.9,44.3,11.9
Andrew Benintendi,active,1147,4776,118,575,556,86,0.267,0.337,0.417,104,23.9,-77.6,11
Bryan Reynolds,active,948,4000,138,500,484,41,0.271,0.346,0.459,117,85.3,-37,18.5
Babe Ruth,HOF,2503,10616,714,2174,2217,123,0.342,0.474,0.69,194,1336.3,-18.6,167
Willie Mays,HOF,3005,12541,660,2068,1909,338,0.301,0.384,0.557,154,835.8,169.6,149.8
Ty Cobb,HOF,3035,13072,117,2246,1937,892,0.366,0.433,0.512,164,1027.9,-90,149.1
Honus Wagner,HOF,2792,11739,101,1736,1732,722,0.327,0.391,0.466,147,704.7,184.4,138.1
Hank Aaron,HOF,3298,13940,755,2174,2297,240,0.305,0.374,0.555,153,882,-61.2,136.3
Tristram Speaker,HOF,2789,11988,117,1882,1529,432,0.345,0.428,0.5,156,807.4,24.4,130.2
Ted Williams,HOF,2292,9791,521,1798,1839,24,0.344,0.482,0.634,187,1064,-125.1,129.8
Rogers Hornsby,HOF,2259,9475,301,1579,1584,135,0.358,0.434,0.577,170,853.4,126.5,129.1
Stan Musial,HOF,3026,12712,475,1949,1951,78,0.331,0.417,0.559,157,901.6,-77.6,126.4
Eddie Collins Sr.,HOF,2826,12037,47,1821,1300,744,0.333,0.424,0.429,144,655.1,68.3,120.1
Lou Gehrig,HOF,2164,9660,493,1888,1995,102,0.34,0.447,0.632,171,949.5,-90.7,115.9
Mickey Mantle,HOF,2401,9909,536,1677,1509,153,0.298,0.421,0.557,170,842.6,-78.1,112.3
Mel Ott,HOF,2730,11337,511,1859,1860,89,0.304,0.414,0.533,154,806,-42.2,110.1
Mike Schmidt,HOF,2404,10062,548,1506,1595,174,0.267,0.38,0.527,147,538.3,150.7,106.5
Rickey Henderson,HOF,3081,13346,297,2295,1115,1406,0.279,0.401,0.419,132,650.9,-56.1,106.3
Frank Robinson,HOF,2808,11743,586,1829,1812,204,0.294,0.389,0.537,153,731.6,-131.5,104
Nap Lajoie,HOF,2480,10460,83,1504,1599,380,0.338,0.38,0.467,144,543.8,86.3,102.2
Jimmie Foxx,HOF,2317,9670,534,1751,1922,87,0.325,0.428,0.609,156,756.2,-54.2,101.4
Joe Morgan,HOF,2649,11329,268,1650,1133,689,0.271,0.392,0.427,135,525.5,14,98.8
Eddie Mathews,HOF,2391,10101,512,1509,1453,68,0.271,0.376,0.509,143,532.7,62.8,96.1
Carl Yastrzemski,HOF,3308,13991,452,1816,1844,168,0.285,0.379,0.462,130,463.3,-0.5,94.8
Cal Ripken Jr.,HOF,3001,12883,431,1647,1695,36,0.276,0.34,0.447,112,165.4,310.1,92.5
Cap Anson,HOF,2523,11319,97,1996,2076,276,0.333,0.393,0.445,134,567.1,64.2,91.2
Al Kaline,HOF,2834,11597,399,1622,1583,137,0.297,0.376,0.48,134,459.8,33.6,88.9
Wade Boggs,HOF,2440,10740,118,1513,1013,24,0.328,0.415,0.443,132,399,105.8,88.3
Roger Connor,HOF,1997,8837,138,1620,1322,244,0.317,0.397,0.486,143,553.7,83.5,86.2
George Davis,HOF,2368,10151,73,1539,1437,616,0.295,0.361,0.405,118,307.4,230.9,84.6
Chipper Jones Jr.,HOF,2499,10614,468,1619,1623,150,0.303,0.401,0.529,141,559.1,-35.3,84.6
George Brett,HOF,2707,11625,317,1583,1596,201,0.305,0.369,0.487,132,439.6,-10.2,84.6
Adrian Beltre,HOF,2933,12130,477,1524,1707,121,0.286,0.339,0.48,115,205.2,213,83.5
Joe DiMaggio,HOF,1736,7671,361,1390,1537,30,0.325,0.398,0.579,151,527.7,32.3,82.6
Roberto Clemente,HOF,2433,10212,240,1416,1305,83,0.317,0.359,0.475,129,337.2,84.4,80.6
Jeff Bagwell,HOF,2150,9431,449,1517,1529,202,0.297,0.408,0.54,149,594.6,-82.1,80.2
Brooks Robinson,HOF,2896,11782,268,1232,1357,28,0.267,0.322,0.401,104,56.1,359.8,80.2
Charlie Gehringer,HOF,2323,10237,184,1774,1427,181,0.32,0.404,0.48,124,334.7,105.1,78.6
Ken Griffey Jr.,HOF,2671,11304,630,1662,1836,184,0.284,0.37,0.538,131,444.1,-39.6,77.7
Johnny Bench,HOF,2158,8673,389,1091,1376,68,0.267,0.342,0.476,125,251.8,161.4,74.8
Frankie Frisch,HOF,2311,10100,105,1532,1244,419,0.316,0.369,0.432,112,213.6,210.1,74.8
Paul Waner,HOF,2549,10762,113,1627,1309,104,0.333,0.404,0.473,135,501.1,-78.4,74.8
Ed Delahanty,HOF,1835,8389,101,1599,1464,455,0.346,0.411,0.505,144,574.2,-53.4,73.7
Derek Jeter,HOF,2747,12602,260,1923,1311,358,0.31,0.377,0.44,119,332.7,-19.8,73
Fred Clarke,HOF,2242,9819,67,1619,1015,506,0.312,0.386,0.429,131,404.1,-26.1,72.8
Reggie Jackson,HOF,2820,11416,563,1551,1702,228,0.262,0.356,0.49,139,499.7,-185,72.7
Luke Appling,HOF,2422,10243,45,1319,1116,179,0.31,0.399,0.398,115,181.8,178.6,72.6
Arky Vaughan,HOF,1817,7721,96,1173,926,118,0.318,0.406,0.453,138,384.4,109.9,72.4
Rod Carew,HOF,2469,10550,92,1424,1015,353,0.328,0.393,0.429,132,380.5,-35.4,72.3
Frank Thomas,HOF,2322,10075,521,1494,1704,32,0.301,0.419,0.555,154,653,-267.4,72.1
Sam Crawford,HOF,2517,10594,97,1391,1525,366,0.309,0.362,0.452,138,443.3,-142.8,71.1
Ron Santo,HOF,2243,9397,342,1138,1331,35,0.277,0.362,0.464,126,263.2,69.5,70.9
Billy Hamilton,HOF,1591,7584,40,1690,736,912,0.344,0.455,0.432,142,592.3,-49.8,70.3
Scott Rolen,HOF,2038,8518,316,1211,1287,118,0.281,0.364,0.49,122,252.4,180.3,69.9
Gary Carter,HOF,2295,9019,324,1025,1225,39,0.262,0.335,0.439,116,151.3,222.1,69.4
Al Simmons,HOF,2215,9515,307,1507,1827,88,0.334,0.38,0.535,129,381.3,-8.2,69.4
Jim Thome,HOF,2543,10313,612,1583,1699,19,0.276,0.402,0.554,145,554.5,-200,69
Larry Walker,HOF,1988,8030,383,1355,1311,230,0.313,0.4,0.565,140,427.9,3.5,68.7
Harry Heilmann,HOF,2148,8960,183,1291,1539,113,0.342,0.41,0.52,142,510.3,-129.1,68.6
Ivan Rodriguez,HOF,2543,10270,311,1354,1332,127,0.296,0.334,0.464,104,37,311.7,68.4
Carlton Fisk,HOF,2499,9853,376,1276,1330,128,0.269,0.341,0.457,117,191.1,133.2,68.3
Johnny Mize,HOF,1884,7371,359,1118,1337,28,0.312,0.397,0.562,155,509,-58.2,68.1
Paul Molitor,HOF,2683,12167,234,1782,1307,504,0.306,0.369,0.448,122,366.1,-114.4,67.7
Ozzie Smith,HOF,2573,10778,28,1257,793,580,0.262,0.337,0.328,90,-69.4,375.3,67.6
Willie McCovey,HOF,2588,9691,521,1229,1555,26,0.27,0.374,0.515,145,498.7,-206.6,67.4
Barry Larkin,HOF,2180,9057,198,1329,960,379,0.295,0.371,0.444,118,240.8,132.5,67
Joe Cronin,HOF,2124,8838,170,1233,1424,87,0.301,0.39,0.468,119,220.6,140.7,66.6
Robin Yount,HOF,2856,12249,251,1632,1406,271,0.285,0.342,0.43,113,206,27.3,66.5
Harmon Killebrew,HOF,2435,9831,573,1283,1584,19,0.256,0.376,0.509,142,477,-158.9,66.1
Craig Biggio,HOF,2850,12504,291,1844,1175,414,0.281,0.363,0.433,115,276.8,-23,65.8
Edgar Martinez,HOF,2055,8678,309,1219,1262,49,0.312,0.418,0.515,147,500.5,-133.5,65.5
Tony Gwynn,HOF,2440,10232,135,1383,1138,319,0.338,0.388,0.459,132,401.5,-92.2,65
Lou Boudreau,HOF,1646,7023,68,861,789,51,0.295,0.38,0.415,122,174.4,212.5,64.4
Goose Goslin,HOF,2287,9822,248,1483,1609,175,0.316,0.387,0.5,126,345.6,-43.2,64.1
Yogi Berra,HOF,2120,8364,358,1175,1430,30,0.285,0.348,0.482,124,243.7,109.7,63.7
Alan Trammell,HOF,2293,9376,185,1231,1003,236,0.285,0.352,0.415,111,124.1,184.4,63.7
Roberto Alomar,HOF,2379,10400,210,1508,1134,474,0.3,0.371,0.443,118,272.5,15.8,63.6
Duke Snider,HOF,2143,8237,407,1259,1333,99,0.295,0.38,0.54,139,403.5,-45.7,63.5
Ernie Banks,HOF,2528,10395,512,1305,1636,50,0.274,0.33,0.5,118,221,48,63.3
Zack Wheat,HOF,2410,9996,132,1289,1248,205,0.317,0.367,0.45,128,327.1,-55.2,63
Willie Stargell,HOF,2360,9026,475,1195,1540,17,0.282,0.36,0.529,145,457.5,-185,62.9
Bid McPhee,HOF,2135,9409,53,1678,1067,568,0.271,0.355,0.372,108,143.5,193.1,62.7
Mike Piazza,HOF,1912,7745,427,1048,1335,17,0.308,0.377,0.545,140,370.1,20.7,62.5
Bobby Wallace,HOF,2383,9612,34,1057,1121,201,0.268,0.332,0.358,104,18.4,257.5,62.4
Dick Allen,HOF,1749,7314,351,1099,1119,133,0.292,0.378,0.534,155,452.6,-152.2,61.3
Pee Wee Reese,HOF,2166,9470,126,1338,885,232,0.269,0.366,0.377,103,63.5,241.7,61.2
Jake Beckley,HOF,2386,10470,86,1600,1575,315,0.308,0.361,0.435,119,265.8,10.3,61.2
Ryne Sandberg,HOF,2164,9282,282,1318,1061,344,0.285,0.344,0.452,115,178.6,103.9,60.9
Larry Doby,HOF,1674,6913,273,1080,1099,64,0.288,0.389,0.499,140,344.1,21.6,60.8
Hank Greenberg,HOF,1394,6096,331,1051,1276,58,0.313,0.412,0.605,153,441.4,-42.5,60.6
Joe Gordon,HOF,1566,6536,253,914,975,89,0.268,0.357,0.466,120,156.8,209.5,60.4
Billy Williams,HOF,2488,10519,426,1410,1475,90,0.29,0.361,0.492,132,379.1,-181.2,60.4
Max Carey,HOF,2476,10770,70,1545,800,738,0.285,0.361,0.386,110,211.8,7.1,60.1
Jackie Robinson,HOF,1416,5938,141,972,761,200,0.313,0.41,0.477,137,301.8,96.7,59.9
Dave Winfield,HOF,2973,12358,465,1669,1833,223,0.283,0.353,0.475,128,406.5,-243.9,59.9
Andre Dawson,HOF,2627,10768,438,1373,1591,314,0.279,0.323,0.482,117,230.5,-11.8,59.5
Tony Perez,HOF,2777,10861,379,1272,1652,49,0.279,0.341,0.463,121,263,-75.1,58.9
Ichiro Suzuki,HOF,2653,10734,117,1420,780,509,0.311,0.355,0.402,104,156.7,58.9,57.6
Richie Ashburn,HOF,2189,9736,29,1322,586,234,0.308,0.396,0.382,115,193,59.5,57.4
Bill Terry,HOF,1721,7111,154,1120,1078,56,0.341,0.393,0.506,136,351.6,4.1,57.2
Fred McGriff,HOF,2460,10174,493,1349,1550,72,0.284,0.377,0.509,134,409.1,-186.3,56.9
Bill Dickey,HOF,1789,7060,202,930,1209,37,0.313,0.382,0.486,126,245.1,72.7,56.1
Elmer Flick,HOF,1483,6414,48,950,756,330,0.313,0.389,0.445,145,365.4,-41.8,56
Willie Keeler,HOF,2123,9594,33,1719,810,495,0.341,0.388,0.415,124,345,-78.5,55.7
Joe Tinker,HOF,1804,7145,31,774,782,336,0.262,0.308,0.353,96,-6.4,288.7,55.5
Billy Herman,HOF,1922,8641,47,1163,839,67,0.304,0.367,0.407,115,163.3,117.4,55.1
Todd Helton,HOF,2247,9453,369,1401,1406,37,0.316,0.414,0.539,132,354.3,-97.7,54.9
Joe Medwick,HOF,1984,8142,205,1198,1383,42,0.324,0.362,0.505,132,331.9,-35.3,54.5
Vladimir Guerrero,HOF,2147,9059,449,1328,1496,181,0.318,0.379,0.553,136,370.2,-115,54.5
Ted Simmons,HOF,2456,9685,248,1074,1389,21,0.285,0.348,0.437,116,164.6,28.1,54.2
Minnie Minoso,HOF,1948,8229,195,1227,1089,216,0.299,0.387,0.461,133,321.4,-54.6,54.1
Gabby Hartnett,HOF,1990,7297,236,867,1179,28,0.297,0.37,0.489,126,250.3,65.9,53.7
Joe Mauer,HOF,1858,7960,143,1018,923,52,0.306,0.388,0.439,123,217.8,41.1,53.5
Bobby Doerr,HOF,1865,8028,223,1094,1247,54,0.288,0.362,0.461,115,121.3,116,53
Kiki Cuyler,HOF,1878,8098,128,1305,1065,328,0.321,0.386,0.474,125,327.8,-45.1,52.9
Jimmy Collins,HOF,1725,7452,65,1055,983,194,0.294,0.343,0.409,111,95.1,171.7,52.5
Harry Hooper,HOF,2309,10244,75,1429,817,375,0.281,0.368,0.387,116,181.6,-30.5,52.4
George Sisler,HOF,2055,9013,102,1284,1175,375,0.34,0.379,0.468,122,251.7,-73.6,52.1
Jim O'Rourke,HOF,1999,9051,62,1729,1203,224,0.311,0.352,0.423,127,364.1,-104.6,52.1
Enos Slaughter,HOF,2380,9084,169,1247,1304,71,0.3,0.382,0.453,125,284.8,-71.5,51.4
David Ortiz,HOF,2408,10091,541,1419,1768,17,0.286,0.38,0.552,140,409,-247.6,51
Jim Rice,HOF,2089,9058,382,1249,1451,58,0.298,0.352,0.502,128,297.5,-106.3,50.8
Sam Rice,HOF,2404,10246,34,1514,1078,351,0.322,0.374,0.427,113,168.9,-33,50.7
Mickey Cochrane,HOF,1482,6206,119,1041,832,64,0.32,0.419,0.478,131,255.4,42.7,50.6
Orlando Cepeda,HOF,2124,8695,379,1131,1365,142,0.297,0.35,0.499,131,316.9,-139,50.3
Tony Lazzeri,HOF,1740,7303,178,986,1191,148,0.292,0.38,0.467,121,203.7,49,50.1
Edd Roush,HOF,1967,8156,68,1099,981,268,0.323,0.369,0.446,127,260.9,-53.6,49.7
Dave Bancroft,HOF,1913,8244,32,1048,591,145,0.279,0.355,0.358,100,-4,209,49.3
Luis Aparicio,HOF,2601,11230,83,1335,791,506,0.262,0.311,0.343,83,-162,302.7,49.1
Johnny Evers,HOF,1783,7210,12,919,538,324,0.27,0.356,0.334,109,86.8,128.8,49
Hugh Duffy,HOF,1737,7827,106,1552,1302,574,0.324,0.384,0.449,118,273.8,-23.4,48.3
Frank Chance,HOF,1286,5099,20,797,596,401,0.296,0.394,0.394,137,253.3,18.4,48.1
Buck Ewing,HOF,1315,5770,71,1129,883,354,0.303,0.351,0.456,123,228.4,86.1,48.1
Joe Sewell,HOF,1903,8329,49,1141,1055,74,0.312,0.391,0.413,111,103.8,85.5,48.1
Ralph Kiner,HOF,1472,6256,369,971,1015,22,0.279,0.398,0.548,146,369.1,-105.3,47.4
Travis Jackson,HOF,1656,6679,135,833,929,71,0.291,0.337,0.433,101,19,226.8,46.2
Roy Campanella,HOF,1432,5643,259,771,1015,35,0.283,0.364,0.498,126,183.5,86.2,45.7
Nellie Fox,HOF,2367,10349,35,1279,790,76,0.288,0.348,0.363,96,-64.1,178.7,45.2
King Kelly,HOF,1455,6455,69,1357,950,368,0.308,0.368,0.438,131,327.9,-60.4,45.1
Kirby Puckett,HOF,1783,7831,207,1071,1085,134,0.318,0.36,0.477,122,204.9,-28.4,44.9
Sam Thompson,HOF,1407,6502,127,1256,1299,229,0.331,0.384,0.505,136,354.1,-75.5,44.1
Heinie Manush,HOF,2008,8416,110,1287,1183,114,0.33,0.377,0.479,119,212.1,-75.1,43.3
Lou Brock,HOF,2616,11238,149,1610,900,938,0.293,0.343,0.41,109,187.6,-169.3,43.2
Rabbit Maranville,HOF,2670,11256,28,1255,884,291,0.258,0.318,0.34,83,-248,278.4,43.1
Chuck Klein,HOF,1753,7168,300,1168,1201,79,0.32,0.379,0.543,132,322,-108.4,42.8
Gil Hodges,HOF,2071,8104,370,1105,1274,63,0.273,0.359,0.487,121,214.3,-58.7,42.1
Hack Wilson,HOF,1348,5556,244,884,1063,52,0.307,0.395,0.545,141,325.6,-67.4,42
Ernie Lombardi,HOF,1853,6349,190,601,990,8,0.306,0.358,0.46,125,192.2,26.7,41.8
Phil Rizzuto,HOF,1661,6711,38,877,563,149,0.273,0.351,0.355,96,-26,207.9,41.4
Dave Parker,HOF,2466,10184,339,1272,1493,154,0.29,0.339,0.471,120,218.1,-159.3,41.1
Tony Oliva,HOF,1676,6879,220,870,947,86,0.304,0.353,0.476,129,220.4,-48,40.7
John Ward,HOF,1825,8084,26,1408,867,540,0.275,0.314,0.341,97,2.8,125,39.8
Roger Bresnahan,HOF,1446,5374,26,682,530,212,0.279,0.386,0.377,128,169.2,7.4,39.6
Harold Baines,HOF,2830,11092,384,1299,1628,34,0.289,0.356,0.465,119,243.5,-235.7,38.5
George Kell,HOF,1795,7528,78,881,870,51,0.306,0.367,0.414,111,100.1,25.4,38.2
Pie Traynor,HOF,1941,8293,58,1183,1273,158,0.32,0.362,0.435,107,90.9,19.4,37.9
Jim Bottomley,HOF,1991,8355,219,1177,1422,58,0.31,0.369,0.5,123,260.9,-154.4,37.7
Red Schoendienst,HOF,2216,9222,84,1223,773,89,0.289,0.337,0.387,94,-62.4,137.5,37.6
Ross Youngs,HOF,1211,5333,42,812,592,153,0.322,0.399,0.441,134,209.5,-37.8,36.1
Chick Hafey,HOF,1283,5113,164,777,833,70,0.317,0.372,0.526,131,222.6,-51.2,32.8
Bill Mazeroski,HOF,2163,8379,138,769,853,27,0.26,0.299,0.367,82,-176.6,200.5,30.9
Freddie Lindstrom,HOF,1438,6104,103,895,779,84,0.311,0.351,0.449,109,84.9,29.6,30.8
George Kelly,HOF,1622,6565,148,819,1020,65,0.297,0.342,0.452,109,72.5,-4.4,29.2
Rick Ferrell,HOF,1884,7072,28,687,734,29,0.281,0.378,0.363,98,-31,52.7,27.5
Lloyd Waner,HOF,1993,8326,27,1201,598,67,0.316,0.353,0.393,99,1.8,-14.2,25.4
Tommy McCarthy,HOF,1275,5739,44,1069,735,468,0.292,0.364,0.376,105,75.6,-36.9,23.3
Ray Schalk,HOF,1762,6217,11,579,594,177,0.253,0.34,0.316,88,-100.6,99.3,22.6
Frank Thomas,HOF,1766,6916,286,792,962,15,0.266,0.32,0.454,104,32.4,-91.7,16.6
Dan Brouthers,HOF,1673,7658,106,1523,1296,256,0.342,0.423,0.519,156,638.2,-16.1,79.5
Eddie Murray,HOF,3026,12817,504,1627,1917,110,0.287,0.359,0.476,127,410.4,-146,72
Carlos Beltran,HOF,2586,11031,435,1582,1587,312,0.279,0.35,0.486,118,313.4,-0.4,67.4
Andruw Jones,HOF,2196,8664,434,1204,1289,152,0.254,0.337,0.486,111,116.3,278.8,67
Jesse Burkett,HOF,2066,9605,75,1720,952,389,0.338,0.415,0.446,137,512.2,-119.4,66.6
Tim Raines Sr.,HOF,2502,10359,170,1571,980,807,0.294,0.385,0.425,125,408.2,-109.6,66.4
Home Run Baker,HOF,1575,6660,96,887,987,235,0.307,0.363,0.442,134,250.7,82.8,60.1
Barry Bonds,not_HOF,2986,12606,762,2227,1996,514,0.298,0.444,0.607,173,1173.8,67.6,164.4
Alex Rodriguez,not_HOF,2784,12207,696,2021,2086,329,0.295,0.38,0.55,141,664.2,69,113.6
Albert Pujols,not_HOF,3080,13041,703,1914,2218,117,0.296,0.374,0.544,141,633.8,-164.3,89.9
Pete Rose,not_HOF,3562,15876,160,2165,1314,198,0.303,0.375,0.409,121,354.7,-143,80.2
Bill Dahlen,not_HOF,2443,10390,84,1589,1233,547,0.272,0.358,0.382,108,167.5,274.1,77.5
Rafael Palmeiro,not_HOF,2831,12046,569,1663,1835,97,0.288,0.371,0.515,130,442.8,-145.4,70
Bobby Grich,not_HOF,2008,8220,224,1033,864,104,0.266,0.371,0.424,129,254.9,134.1,69.2
Miguel Cabrera,not_HOF,2797,11796,511,1551,1881,40,0.306,0.382,0.518,139,469,-198.7,68.7
Lou Whitaker,not_HOF,2390,9967,244,1386,1084,143,0.276,0.363,0.426,118,204.8,127.1,68.1
Manny Ramirez,not_HOF,2302,9774,555,1544,1831,38,0.312,0.411,0.585,153,624.8,-276.6,66.4
Mark McGwire,not_HOF,1874,7660,583,1167,1414,12,0.263,0.394,0.588,157,555,-138.5,66.3
Graig Nettles,not_HOF,2700,10227,390,1193,1314,32,0.248,0.329,0.421,111,119.6,179,65.7
Dwight Evans,not_HOF,2606,10569,385,1470,1384,78,0.272,0.37,0.47,129,348.4,-68.6,65.1
Reggie Smith,not_HOF,1987,8050,314,1123,1092,137,0.287,0.366,0.489,137,331.7,25.5,64.6
Jim Edmonds,not_HOF,2011,7980,393,1251,1199,67,0.284,0.376,0.527,132,317.7,73.3,64.5
Sherry Magee,not_HOF,2087,8546,83,1112,1176,441,0.291,0.364,0.427,134,352.5,-65.1,63.4
Kenny Lofton,not_HOF,2103,9235,130,1528,781,622,0.299,0.372,0.423,109,181.3,139.4,62.4
Joe Torre,not_HOF,2209,8802,252,996,1185,23,0.297,0.365,0.452,129,284.1,-9.8,62.3
Gary Sheffield,not_HOF,2576,10947,509,1636,1676,253,0.292,0.393,0.514,141,575.7,-300.9,62.1
Willie Randolph,not_HOF,2202,9461,54,1239,687,271,0.276,0.373,0.351,109,123.2,168.2,62
Buddy Bell,not_HOF,2405,10009,201,1151,1106,55,0.279,0.341,0.406,108,73.4,200.9,61.7
Chase Utley,not_HOF,1937,7863,259,1103,1025,154,0.275,0.358,0.465,118,252.1,106.3,61.5
Darrell Evans,not_HOF,2687,10737,414,1344,1354,99,0.248,0.361,0.431,120,244.6,-13.5,61.2
